Domain,Brand,Categories,LAR,E (Eligibility),E contribution to LAR,E: product score avg,E: family score avg,X (eXtensibility),X contribution to LAR,X: policy points avg,X: specs points avg,Policy structured on PDP rate,Policy structured on policy page rate,Policy link only rate,Specs with units rate,A (Share of Answer),A contribution to LAR,S (Sentiment),S contribution to LAR,S: source,S: average star rating,S: average rating count,S: average confidence,S: average source weight,S: fallback share,URLs audited,Ratings found
k-bygg.se,k-bygg.se,,32.41,65.39,26.16,81.74,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,audit,0.0,0.0,0.0,0.0,0.0,23,0
www.biltema.se,Biltema,"Appliances,Automotive,DIY_Tools,Electronics,Workwear",28.35,55.24,22.1,69.05,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,audit,0.0,0.0,0.0,0.0,0.0,21,0
www.bygghemma.se,www.bygghemma.se,,25.7,48.63,19.45,60.79,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,audit,0.0,0.0,0.0,0.0,0.0,24,0
www.byggmax.se,www.byggmax.se,,27.05,52.0,20.8,65.0,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,audit,0.0,0.0,0.0,0.0,0.0,22,0
www.clasohlson.com,Clas Ohlson,"Appliances,DIY_Tools,Electronics,Workwear",29.87,52.0,20.8,65.0,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,28.231884057971012,2.82,audit,3.63,50.83,0.48,1.0,0.0,23,23
www.elgiganten.se,Elgiganten,"Appliances,Electronics",32.81,63.68,25.47,79.6,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,10.866666666666665,1.09,audit,4.433,3.83,0.153,0.983,0.167,25,6
www.hornbach.se,Hornbach,"Building,DIY_Tools,Workwear",33.45,68.0,27.2,85.0,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,audit,0.0,0.0,0.0,0.0,0.0,23,0
www.kjell.com,www.kjell.com,,26.79,50.6,20.24,63.25,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,2.9999999999999996,0.3,audit,4.425,2.25,0.05,0.9,1.0,20,20
www.mekonomen.se,Mekonomen,Automotive,15.85,24.0,9.6,30.0,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,audit,0.0,0.0,0.0,0.0,0.0,11,0
www.netonnet.se,NetOnNet,"Appliances,Electronics",42.02,68.0,27.2,85.0,0.0,45.59,11.4,45.59,0,0.824,0.0,1.0,0.0,0.0,0.0,34.26666666666666,3.43,audit,4.014,20.07,0.523,1.0,0.0,17,14
www.rusta.com,Rusta,"Appliances,DIY_Tools,Electronics,Workwear",34.21,50.44,20.18,63.06,0.0,25,6.25,25,0,0.0,0.0,1.0,0.0,0.0,0.0,77.81155555555554,7.78,audit,4.992,58.67,0.791,0.994,0.056,18,18
